始発停留所	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A
始発時間	06:55	07:50	09:40	10:20	11:35	12:50	14:25	15:20	16:00	16:25	17:00	17:40	18:25	18:55	19:30
終点時間	07:58	08:53	10:43	10:49	12:38	13:53	15:28	15:49	17:10	16:54	17:34	18:54	19:39	20:02	20:37
終点停留所	富来-E	富来-E	富来-E	高浜-D	富来-E	富来-E	富来-E	高浜-D	富来-E	高浜-D	高浜-D	富来-E	富来-E	富来-E	富来-E
備考															
羽咋駅前-A	06:55	07:50	09:40	10:20	11:35	12:50	14:25	15:20	16:00	16:25	17:00	17:40	18:25	18:55	19:30
市役所前-A	06:56	07:51	09:41	10:21	11:36	12:51	14:26	15:21	16:01	16:26	17:01	17:41	18:26	18:56	19:31
羽咋小学校前-A	06:57	07:52	09:42	10:22	11:37	12:52	14:27	15:22	16:02	16:27	17:02	17:42	18:27	18:57	19:32
羽咋中央-A	06:58	07:53	09:43	10:23	11:38	12:53	14:28	15:23	16:03	16:28	17:03	17:43	18:28	18:58	19:33
羽咋大橋-A	07:00	07:55	09:45	10:25	11:40	12:55	14:30	15:25	16:05	16:30	17:05	17:45	18:30	19:00	19:35
工業高校前-A	07:01	07:56	09:46	10:26	11:41	12:56	14:31	15:26	16:07	16:31	17:07	17:47	18:32	19:01	19:36
釜屋新保-A	07:02	07:57	09:47	10:27	11:42	12:57	14:32	15:27	16:08	16:32	17:08	17:48	18:33	19:02	19:37
猫の目-A	07:04	07:59	09:49	10:29	11:44	12:59	14:34	15:29	16:10	16:34	17:10	17:50	18:35	19:04	19:39
一の宮-A	07:05	08:00	09:50	10:30	11:45	13:00	14:35	15:30	16:12	16:35	17:12	17:52	18:37	19:05	19:40
滝-A	07:07	08:02	09:52	10:32	11:47	13:02	14:37	15:32	16:14	16:37	17:14	17:54	18:39	19:07	19:42
西北台小学校前-A	07:09	08:04	09:54	10:34	11:49	13:04	14:39	15:34	16:16	16:39	17:16	17:56	18:41	19:09	19:44
三軒茶屋-A	07:10	08:05	09:55	10:35	11:50	13:05	14:40	15:35	16:17	16:40	17:17	17:57	18:42	19:10	19:45
本成寺口-A	07:11	08:06	09:56	10:36	11:51	13:06	14:41	15:36	16:18	16:41	17:18	17:58	18:43	19:11	19:46
柴垣-A	07:12	08:07	09:57	10:37	11:52	13:07	14:42	15:37	16:19	16:42	17:19	17:59	18:44	19:12	19:47
滝谷口-A	07:13	08:08	09:58	10:38	11:53	13:08	14:43	15:38	16:20	16:43	17:20	18:00	18:45	19:13	19:48
妙成寺口-A	07:14	08:09	09:59	10:39	11:54	13:09	14:44	15:39	16:21	16:44	17:21	18:01	18:46	19:14	19:49
甘田-A	07:16	08:11	10:01	10:41	11:56	13:11	14:46	15:41	16:23	16:46	17:23	18:03	18:48	19:16	19:51
大島キャンプ場口-A	07:17	08:12	10:02	10:42	11:57	13:12	14:47	15:42	16:25	16:47	17:25	18:05	18:50	19:17	19:52
大島-A	07:19	08:14	10:04	10:44	11:59	13:14	14:49	15:44	16:27	16:49	17:27	18:07	18:52	19:19	19:54
長沢-A	07:20	08:15	10:05	10:45	12:00	13:15	14:50	15:45	16:29	16:50	17:29	18:09	18:54	19:20	19:55
大念寺-A	07:22	08:17	10:07	10:47	12:02	13:17	14:52	15:47	16:31	16:52	17:31	18:11	18:56	19:22	19:57
高浜-D	07:24	08:19	10:09	10:49	12:04	13:19	14:54	15:49	16:34	16:54	17:34	18:14	18:59	19:24	19:59
末吉-A	07:26	08:21	10:11		12:06	13:21	14:56		16:36			18:16	19:01	19:26	20:01
清水-A	07:27	08:22	10:12		12:07	13:22	14:57		16:37			18:17	19:02	19:27	20:02
堀松南-A	07:28	08:23	10:13		12:08	13:23	14:58		16:38			18:18	19:03	19:28	20:03
大笹-A	07:32	08:27	10:17		12:12	13:27	15:02		16:42			18:22	19:07	19:32	20:07
牛首-A	07:34	08:29	10:19		12:14	13:29	15:04		16:44			18:24	19:09	19:34	20:09
米町-A	07:36	08:31	10:21		12:16	13:31	15:06		16:46			18:26	19:11	19:36	20:11
松の木-A	07:38	08:33	10:23		12:18	13:33	15:08		16:48			18:28	19:13	19:38	20:13
直海-A	07:39	08:34	10:24		12:19	13:34	15:09		16:49			18:29	19:14	19:39	20:14
長田口	07:40	08:35	10:25		12:20	13:35	15:10		16:50			18:30	19:15	19:40	20:15
豊後名-A	07:42	08:37	10:27		12:22	13:37	15:12		16:52			18:32	19:17	19:42	20:17
三明-A	07:43	08:38	10:28		12:23	13:38	15:13		16:53			18:33	19:18	19:43	20:18
谷神-A	07:45	08:40	10:30		12:25	13:40	15:15		16:55			18:35	19:20	19:45	20:20
荒屋-A	07:46	08:41	10:31		12:26	13:41	15:16		16:57			18:37	19:22	19:46	20:21
牛下-A	07:51	08:46	10:36		12:31	13:46	15:21		17:03			18:43	19:28	19:51	20:26
生神-A	07:53	08:48	10:38		12:33	13:48	15:23		17:05			18:45	19:30	19:53	20:28
七海-A	07:55	08:50	10:40		12:35	13:50	15:25		17:07			18:47	19:32	19:55	20:30
領家口-A	-	-	-		-	-	-		-			18:50	19:35	19:58	20:33
富来-E	07:58	08:53	10:43		12:38	13:53	15:28		17:10			18:54	19:39	20:02	20:37
