始発停留所	門前-A	門前-A	門前-A		
始発時間	08:20	13:15	18:40		
終点時間	08:52	13:47	19:12		
終点停留所	五十洲	五十洲	五十洲		
備考					
門前-A	08:20	13:15	18:40		
日野尾-A	08:21	13:16	18:41		
広瀬-A	08:22	13:17	18:42		
保健センター前-B	08:23	13:18	18:43		
本市-B	08:24	13:19	18:44		
本市口-B	08:25	13:20	18:45		
田村-A	08:26	13:21	18:46		
正仏-A	08:27	13:22	18:47		
浦上-A	08:28	13:23	18:48		
中野屋-A	08:30	13:25	18:50		
上中野屋-A	08:31	13:26	18:51		
日砂子-A	08:33	13:28	18:53		
濁池-A	08:35	13:30	18:55		
清土-A	08:36	13:31	18:56		
薄野-A	08:40	13:35	19:00		
井守上坂-A	08:46	13:41	19:06		
百成大角間-A	08:48	13:43	19:08		
皆月-A	08:49	13:44	19:09		
七浦農協前	08:50	13:45	19:10		
鵜山	08:51	13:46	19:11		
五十洲	08:52	13:47	19:12		
